Players,Player_ID,Matches_Played,Win_rate
BlazingDragon,blazingdragon,48,35.42
FandM-Lancaster,fandm-lancaster,48,22.92
juncinmestrella,juncinmestrella,46,50.0
kevchod,kevchod,46,34.78
islam01,islam01,46,34.78
ChessCarl,chesscarl,45,97.78
BobC,bobc,45,51.11
pavelsps,pavelsps,44,56.82
Amateur_Pawn_Star,amateur_pawn_star,44,45.45
Nitsua49,nitsua49,44,6.82
DPOTY,dpoty,43,55.81
fischerdipper,fischerdipper,43,48.84
Dipset,dipset,43,34.88
TheHutchTouch,thehutchtouch,42,47.62
jdbarger,jdbarger,42,40.48
Chicago_Chess,chicago_chess,42,23.81
jeffersondarcy1,jeffersondarcy1,41,41.46
s-a,s-a,40,67.5
dkattir,dkattir,40,50.0
lawrenman,lawrenman,40,47.5
ri_chess,ri_chess,40,47.5
adatene,adatene,40,42.5
Crixin,crixin,40,40.0
piley159,piley159,39,51.28
poocasso,poocasso,39,48.72
masterZYD,masterzyd,39,46.15
TAHASTANLY,tahastanly,39,33.33
vchess4,vchess4,39,28.21
KingCrazy99,kingcrazy99,39,17.95
vfhfnvfhfn22,vfhfnvfhfn22,38,52.63
tfeng,tfeng,38,47.37
ThatGuyThatIsTR,thatguythatistr,37,54.05
IVAnbus,ivanbus,37,51.35
cape217,cape217,37,43.24
BocaDaGod,bocadagod,37,35.14
eche777,eche777,37,32.43
apis11,apis11,36,77.78
hd_aslani,hd_aslani,36,63.89
saeed65,saeed65,36,58.33
hill_j,hill_j,36,47.22
Jesteroz,jesteroz,36,41.67
darobertson,darobertson,36,38.89
glzrchess,glzrchess,36,38.89
brorael357,brorael357,36,38.89
Hasan_Al-Banna,hasan_al-banna,36,38.89
oldpaths,oldpaths,35,60.0
Crax_Is_Bax,crax_is_bax,35,54.29
mailsupriya,mailsupriya,35,42.86
SergeyPolozhiev,sergeypolozhiev,35,40.0
YouralterEgo,youralterego,34,82.35
Ethan_3f,ethan_3f,34,58.82
mobin1388,mobin1388,34,55.88
sharkey101,sharkey101,34,47.06
Laughingman22,laughingman22,34,38.24
blokh1n,blokh1n,34,23.53
toni4127,toni4127,33,75.76
divu7,divu7,33,63.64
oggy04,oggy04,33,57.58
Chita,chita,33,48.48
nuffsaidM8,nuffsaidm8,33,45.45
saviter,saviter,33,36.36
alexmalando,alexmalando,32,68.75
Egor_Korsakov,egor_korsakov,32,53.12
ScorchedTurf,scorchedturf,32,53.12
Anakgreget,anakgreget,32,43.75
dadt505,dadt505,32,43.75
jdy,jdy,32,34.38
Joe-Brown,joe-brown,32,21.88
hus1972,hus1972,31,74.19
BaranOrnarli,baranornarli,31,51.61
MrTx,mrtx,31,51.61
userx100,userx100,31,35.48
kyanh,kyanh,30,40.0
nederlander2,nederlander2,30,30.0
Lcover,lcover,30,30.0
Oso_bucholz,oso_bucholz,30,26.67
pink-flower,pink-flower,29,58.62
Isachess,isachess,29,51.72
sassou,sassou,29,44.83
A_P_T_E_M_U_U,a_p_t_e_m_u_u,29,44.83
Woodham,woodham,29,37.93
LittleKitty83,littlekitty83,29,20.69
andreschil,andreschil,29,6.9
shadow1031,shadow1031,28,32.14
MeccanoidG15,meccanoidg15,27,77.78
BusinessMan47,businessman47,27,51.85
hamidreza,hamidreza,27,44.44
Jovan_KingOfKings,jovan_kingofkings,27,44.44
tidalbutt,tidalbutt,27,33.33
chees29,chees29,27,18.52
Traced,traced,26,88.46
mahmoud_safyan,mahmoud_safyan,26,57.69
artem555,artem555,26,57.69
RaeSremmurd,raesremmurd,26,53.85
mikiduda,mikiduda,26,42.31
Nash300,nash300,26,19.23
first-time-1,first-time-1,25,88.0
Rembrandt16,rembrandt16,25,64.0
Karsh,karsh,25,60.0
arsenelupin1620,arsenelupin1620,25,60.0
D_War,d_war,25,36.0
samuelpro,samuelpro,25,16.0
bischopscup,bischopscup,25,12.0
Saitama_OPM,saitama_opm,24,70.83
chessmolester,chessmolester,24,62.5
anudeep_nani1501,anudeep_nani1501,24,45.83
JackyDawg,jackydawg,24,45.83
Chez91,chez91,24,45.83
elcidestaron,elcidestaron,24,37.5
evan_h1234,evan_h1234,24,33.33
Christina-A-11,christina-a-11,23,95.65
IceCreamDealer,icecreamdealer,23,73.91
Siindbad,siindbad,22,100.0
Dude_Perfect,dude_perfect,22,68.18
anejbegunje,anejbegunje,22,50.0
Madd_Hatter,madd_hatter,22,27.27
Bishopson,bishopson,21,61.9
Webkin,webkin,21,47.62
behrooz36tehran,behrooz36tehran,21,47.62
Roman12342005,roman12342005,21,42.86
ecstasydrug,ecstasydrug,21,14.29
Rustam9,rustam9,21,14.29
DucksandCats,ducksandcats,20,55.0
GamingProf,gamingprof,20,50.0
ammanian,ammanian,20,50.0
dellinspiron25,dellinspiron25,20,40.0
thegreatman06,thegreatman06,20,35.0
O-king-O,o-king-o,20,30.0
Tensors,tensors,20,25.0
KellyClarkson,kellyclarkson,20,15.0
Xamio,xamio,20,10.0
Doraemon61,doraemon61,19,84.21
dhernandez101,dhernandez101,19,73.68
part74,part74,19,68.42
TheGrim123321,thegrim123321,19,63.16
Hebi,hebi,19,42.11
cerseisminge,cerseisminge,19,36.84
PMW97,pmw97,19,36.84
ASIANINDAHOUSE,asianindahouse,19,31.58
arnomass,arnomass,19,15.79
cliward132,cliward132,19,10.53
