rated,variant,match_type,createdAt,status,white_player,white_player_id,white_rating,black_player,black_player_id,black_rating,initial_time,total_time,opening_data,eco,match_winner,moves,white_first_move,black_first_move
True,standard,rapid,1407882877361,mate,seifca90,seifca90,1500,Cocomo,cocomo,1258,600,1000,Queen's Pawn Game,D00,Cocomo,d4 d5 e3 Nc6 Qf3 Nf6 c3 e6 Bb5 Bd7 Nh3 a6 Bd3 Bd6 e4 dxe4 Bxe4 e5 d5 Na5 O-O O-O Qg3 Nh5 Qf3 g6 Bg5 Be7 Bh6 Re8 Nd2 Bxh3 Qxh3 Bg5 Nf3 Bxh6 b4 Nc4 Rad1 Nb2 Rd2 Bxd2 Nxd2 Qg5 Qxh5 Qxh5 Bxg6 Qxg6 g4 Qxg4+ Kh1 Nd3 f4 exf4 Rb1 Re2 Nc4 Qg2#,d4,d5
True,standard,rapid,1407883535817,mate,Cocomo,cocomo,1269,seifca90,seifca90,1162,600,1000,Philidor Defense,C41,seifca90,e4 e5 Nf3 d6 Nc3 Nc6 Bc4 Nf6 d3 Be6 b3 Bxc4 bxc4 Qe7 O-O O-O-O Be3 b6 Nb5 Kb8 Bg5 h6 Be3 g5 g4 Nxg4 Bd2 h5 Nxg5 Bh6 h4 f6 Nh3 Rhg8 Kh1 Bxd2 Qxd2 Qe6 f3 Nh6 Qxh6 Qxh3#,e4,e5
True,standard,rapid,1407884185251,outoftime,seifca90,seifca90,1500,ghost,ghost,1707,120,520,Yusupov-Rubinstein System,A46,ghost,d4 Nf6 e3 e6 Nf3 c5 Bc4 b6 b3 Bb7 Nc3 a6 O-O Be7 d5 exd5 Bxd5 Nxd5 Nxd5 Nc6 Ba3 O-O b4 cxb4 Bb2 a5 Bd4 Bc5 Ne5 Nxd4 exd4 Bxd5 dxc5 Bxg2 cxb6 Qg5,d4,Nf
True,standard,rapid,1407933702987,mate,seifca90,seifca90,1340,rest,rest,1366,540,1220,Queen's Pawn Game,D00,rest,d4 d5 e3 Nc6 Qf3 Nf6 Nh3 Bxh3 Qxh3 Qd7 Bb5 e6 Nc3 a6 Bxc6 Qxc6 Qh4 Be7 O-O Ne4 Qf4 Nxc3 bxc3 Qxc3 Rb1 b5 Bb2 Bd6 Bxc3 Bxf4 exf4 O-O Ba5 c6 Rbe1 Rac8 Re3 Rfe8 Rf3 c5 dxc5 Rxc5 f5 e5 Rc1 f6 Bb6 Rc4 Rg3 Rf4 Rf3 Ra4 Ra1 Rc8 Rd1 Rxa2 Rxd5 Ra1+ Rd1 Rxd1#,d4,d5
True,standard,classical,1415445294865,resign,cam999,cam999,1597,Salemchess5,salemchess5,1500,2700,2740,Mikenas Defense,A40,Salemchess5,d4 Nc6 c4 e6 a3 Qe7 b4 Nxd4 Qxd4 Qxb4+ axb4 Rb8 Qxa7 e5 Qxb8 Ke7 Qxc8 Nf6 Qxd7+ Kxd7 f4 e4 Nd2 e3 Ngf3 exd2+ Bxd2 Bxb4 Bxb4 Ne8 Kf2 f5 Ra7 g5 Nxg5 Rf8 Rxb7,d4,Nc
True,standard,rapid,1415451973213,mate,mamoot,mamoot,1270,Salemchess5,salemchess5,1277,120,520,Pirc Defense,B00,mamoot,e4 d6 d4 Qd7 Nf3 Na6 Bxa6 bxa6 Nc3 Qg4 O-O Bd7 Ng5 Qxg5 Bxg5 h5 Qf3 O-O-O Qxf7 Bb5 Qf5+ Kb7 Nxb5 axb5 Qxb5+ Ka8 a4 Rc8 a5 c5 a6 Rc7 dxc5 Nf6 cxd6 exd6 Ra3 Be7 Rc3 Rxc3 bxc3 Nxe4 Qb7#,e4,d6
True,standard,classical,1416431942686,resign,frantaIQ,frantaiq,1558,acj4-chess,acj4-chess,1500,600,2000,Nimzowitsch Defense,B00,frantaIQ,e4 Nc6 Bc4 Ne5 Bb3 d5 d4 b5 dxe5 a5 Bxd5 c5 Bxf7+ Kxf7 Qxd8 Ra6 Qxc8 Re6 Qxc5 Rxe5 Qxe5 Ke8,e4,Nc
True,standard,rapid,1420605638381,mate,Raj1044,raj1044,1368,bqfun,bqfun,1500,600,1000,Bishop's Opening: Boi Variation,C23,Raj1044,e4 e5 Bc4 Bc5 d3 Qf6 Qf3 d5 exd5 Nh6 Bxh6 gxh6 Qxf6 Nd7 Qxh8+ Ke7 d6+ cxd6 Qxh7 a6 Qxf7+ Kd8 Nc3 b5 Bd5 Rb8 Bc6 Nb6 Qe8+ Kc7 Nd5+ Nxd5 Bxd5 Kb6 Qc6+ Ka5 Ne2 Kb4 c3+ Ka5 b4+ Ka4 bxc5 Ka3 O-O Bf5 Qb6 Rxb6 d4 Rb8 cxd6 Bd3 Rfe1 Kb2 Bc6 Bxe2 Rab1+ Kxa2 Rxe2+ Ka3 d7 b4 cxb4 exd4 Re8 Rxe8 dxe8=Q Ka2 Qe1 Ka3 Qc1+ Ka2 Qb2#,e4,e5
True,standard,rapid,1420827824927,mate,theking1234,theking1234,1500,omelas,omelas,1670,300,500,English Opening: The Whale,C20,omelas,e4 e5 c4 Bc5 Nf3 Nc6 Nc3 d6 Bd3 Bg4 O-O Nd4 Nxd4 Bxd1 Rxd1 Bxd4 Ne2 c5 Nxd4 cxd4 c5 dxc5 Bb5+ Ke7 d3 f6 Rd2 a6 Re2 Kd6 Re3 axb5 Rg3 g5 Bxg5 fxg5 f4 gxf4 Rg4 Nf6 Rg7 Rg8 Rg3 Rxg3 hxg3 fxg3 Rf1 Rxa2 Rb1 c4 dxc4 Qa5 cxb5 Ra1 Rxa1 Qxa1#,e4,e5
True,standard,classical,1421155817646,mate,Mateushn,mateushn,1350,theking1234,theking1234,1500,1200,1520,King's Pawn Game: Napoleon Attack,C20,Mateushn,e4 e5 Qf3 Nf6 Bc4 Nxe4 Qxf7#,e4,e5
True,standard,classical,1421155917903,mate,theking1234,theking1234,1264,Mateushn,mateushn,1477,1200,1520,Alekhine Defense: Normal Variation,B02,Mateushn,e4 Nf6 e5 Nd5 Nf3 d6 Nc3 dxe5 Nxd5 Qxd5 d4 Bg4 c4 Qe4+ Be2 Bxf3 Qa4+ Nc6 b4 Bxg2 Rg1 Bf3 b5 Qxe2#,e4,Nf
True,standard,classical,1421156138783,mate,Mateushn,mateushn,1531,theking1234,theking1234,1190,1200,1520,Nimzowitsch Defense,B00,Mateushn,e4 Nc6 Qf3 Nf6 Bc4 Nd4 Qd3 Nxc2+ Qxc2 Nxe4 Qxe4 e5 Qxe5+ Be7 Qf5 d5 Bxd5 Bxf5 Nc3 Bc5 Nb5 Qxd5 b3 Qe5+ Kd1 Bc2+ Kxc2 Qe4+ d3 Qf5 Bd2 Rd8 f4 Rd5 Re1+ Be7 Nc3 Rd4 Re5 Qf6 Nf3 Rxf4 Rhe1 O-O Rxe7 Ra8 g3 Kf8 gxf4 Qc6 Ne5 Qg2 Rxc7 Qxh2 Rxf7+ Kg8 Rxb7 Qh4 Nb5 Rc8+ Nc7 Qe7 Ba5 Rf8 Bb4 Rxf4 Bxe7 h5 Ne6 Rf5 Rg1 Rxe5 Rxg7+ Kh8 Rb8#,e4,Nc
True,standard,rapid,1421157096644,mate,Kentiara,kentiara,1324,theking1234,theking1234,1321,240,520,Benoni Defense: Old Benoni,A43,Kentiara,d4 c5 d5 Qa5+ Bd2 Qb6 Bc3 e6 e4 exd5 exd5 c4 Bxc4 Qc5 Qe2+ Be7 Bxg7 Qb4+ c3 Qa5 Bxh8 Nf6 Bxf6 Qb6 Qe5 Qxb2 Qxe7#,d4,c5
True,standard,rapid,1421157403295,resign,theking1234,theking1234,1223,Kentiara,kentiara,1333,240,520,Queen's Pawn Game: Modern Defense,A40,Kentiara,d4 g6 d5 Bg7 d6 cxd6 Bf4 Bxb2 Nc3 Bxc3+ Bd2 Qa5 Qc1 Qe5 Nf3 Bxd2+ Qxd2 Qxa1+ Qd1 Qxa2 g4 b6 Bh3 Bb7 O-O Qa3 c4 Nf6 c5 dxc5 e4 Bxe4 Re1 Bxf3 Re2 Bxe2 Qxe2 Qxh3 Qa6 Nxa6,d4,g6
